"Authors","Author full names","Author(s) ID","Title","Year","Source title","Volume","Issue","Art. No.","Page start","Page end","Cited by","DOI","Link","Affiliations","Authors with affiliations","Abstract","Author Keywords","Sponsors","Conference name","Conference date","Conference location","Conference code","ISSN","ISBN","CODEN","Language of Original Document","Abbreviated Source Title","Document Type","Publication Stage","Open Access","Source","EID"
"Carthen C.; Lac L.; White R.; Braun T.; Ochoa J.; Tavakkoli A.; Harris F.C.","Carthen, Chase (57151401500); Lac, Lukas (60415917500); White, Rich (60415283000); Braun, Thomas (60415917600); Ochoa, Josue (60415917700); Tavakkoli, Alireza (13908382500); Harris, Frederick C. (57213805178)","57151401500; 60415917500; 60415283000; 60415917600; 60415917700; 13908382500; 57213805178","N-CATS: A Neural Network Classification Automatic Taxonomy System","2025","Proceedings - 29th IEEE/ACIS International Conference on Software Engineering, Artificial Intelligence, Networking and Parallel/Distributed Computing, SNPD 2025-Summer","","","","238","243","0","10.1109/SNPD65828.2025.11254174","https://www.scopus.com/pages/publications/105031173596?origin=resultslist","University of Nevada, Reno, Department of Computer Science and Engineering, Reno, NV, United States","Carthen C., University of Nevada, Reno, Department of Computer Science and Engineering, Reno, NV, United States; Lac L., University of Nevada, Reno, Department of Computer Science and Engineering, Reno, NV, United States; White R., University of Nevada, Reno, Department of Computer Science and Engineering, Reno, NV, United States; Braun T., University of Nevada, Reno, Department of Computer Science and Engineering, Reno, NV, United States; Ochoa J., University of Nevada, Reno, Department of Computer Science and Engineering, Reno, NV, United States; Tavakkoli A., University of Nevada, Reno, Department of Computer Science and Engineering, Reno, NV, United States; Harris F.C., University of Nevada, Reno, Department of Computer Science and Engineering, Reno, NV, United States","The rapid evolution of Artificial Neural Networks (ANN) has made it difficult to organize and compare model architectures under a unified framework. Automatic taxonomy construction (ATC) is a promising approach for algorithmically organizing knowledge domains, but existing frameworks struggle with the structural complexities of ANNs. To address this, we introduce Neural Network Classification Automatic Taxonomy System (N-CATS), a structured, ontology-driven framework for ATC that enables comparison across diverse ANN topologies. N-CATS extracts contextual information from semi-structured sources, including academic publications, source code, and serialized formats such as ONNX to populate an ontology schema-based on ANNETT-O. The system leverages Large Language Models (LLM) with Retrieval-Augmented Generation (RAG) to support the ontology population and organize extracted information in a graph database, enabling on-demand categorization and comparison of ANNs. To demonstrate feasibility, we developed a web application that provides ontology visualization, proof-of-concept taxonomy generation, and a chatbot using GraphRAG and Model Context Protocol (MCP) servers for intelligent querying. We compare N-CATS with existing neural network ontologies such as FAIRnets, Artificial Intelligence Ontology (AIO), and ANNETT-O. Finally, we outline advantages and limitations, demonstrating a proof-of-concept knowledge system that facilitates more efficient discovery and comparison of deep learning models as a tool for researchers.  © 2025 IEEE.","Automatic Taxonomy Construction; Model Context Protocol; Neural Network; Ontology; Retrieval Augmented Generation","IEEE Computer Society; International Association for Computer and Information Science (ACIS)","29th IEEE/ACIS International Conference on Software Engineering, Artificial Intelligence, Networking and Parallel/Distributed Computing, SNPD 2025-Summer","25 June 2025 through 27 June 2025","Busa","217963","","979-833151258-3","","English","Proc. - IEEE/ACIS Int. Conf. Softw. Eng., Artif. Intell., Netw. Parallel/Distrib. Comput., SNPD-Summer","Conference paper","Final","","Scopus","2-s2.0-105031173596"
"Strich J.; Schneider F.; Nikishina I.; Biemann C.","Strich, Jan (59328717700); Schneider, Florian (57220897549); Nikishina, Irina (57203315660); Biemann, Chris (8538613800)","59328717700; 57220897549; 57203315660; 8538613800","On Improving Repository-Level Code QA for Large Language Models","2024","Proceedings of the Annual Meeting of the Association for Computational Linguistics","4","","","303","338","1","10.18653/v1/2024.acl-srw.28","https://www.scopus.com/pages/publications/85204060724?origin=resultslist","Language Technology Group Universität Hamburg, Germany","Strich J., Language Technology Group Universität Hamburg, Germany; Schneider F., Language Technology Group Universität Hamburg, Germany; Nikishina I., Language Technology Group Universität Hamburg, Germany; Biemann C., Language Technology Group Universität Hamburg, Germany","Large Language Models (LLMs) such as ChatGPT, GitHub Copilot, Llama, or Mistral assist programmers as copilots and knowledge sources to make the coding process faster and more efficient. This paper aims to improve the copilot performance by implementing different self-alignment processes and retrieval-augmented generation (RAG) pipelines, as well as their combination. To test the effectiveness of all approaches, we create a dataset and apply a model-based evaluation, using LLM as a judge. It is designed to check the model’s abilities to understand the source code semantics, the dependency between files, and the overall meta-information about the repository. We also compare our approach with other existing solutions, e.g. ChatGPT-3.5, and evaluate on the existing benchmarks. Code and dataset are available online1 ©2024 Association for Computational Linguistics.","","","62nd Annual Meeting of the Association for Computational Linguistics, ACL 2024","11 August 2024 through 16 August 2024","Bangkok","202222","0736587X","979-889176097-4","","English","Proc. Annu. Meet. Assoc. Comput Linguist.","Conference paper","Final","All Open Access; Gold Open Access","Scopus","2-s2.0-85204060724"
"Liao L.; Yan Y.; Lin X.; Braytee A.","Liao, Lilong (60572446200); Yan, Yingjie (60572413700); Lin, Xiaojie (57712466500); Braytee, Ali (56566738300)","60572446200; 60572413700; 57712466500; 56566738300","LaTeX-FC: Automating Latex Format Conversion Across Journals via LLMs","2025","IEEE International Conference on Data Mining Workshops, ICDMW","","","","2565","2568","0","10.1109/ICDMW69685.2025.00324","https://www.scopus.com/pages/publications/105035385522?origin=resultslist","University of Technology Sydney, Sydney, Australia","Liao L., University of Technology Sydney, Sydney, Australia; Yan Y., University of Technology Sydney, Sydney, Australia; Lin X., University of Technology Sydney, Sydney, Australia; Braytee A., University of Technology Sydney, Sydney, Australia","LaTeX is widely used in academic publishing for its clean formatting and support for complex structures. However, converting manuscripts across various journal templates, such as IEEE, MDPI, and Springer, remains tedious, time-consuming, and error-prone. Existing manual and script-based methods are slow, rigid, and prone to formatting errors. In this study, we propose the LaTeX Format Converter (LaTeX-FC), a prompt-driven framework that leverages large language models (LLMs) such as Claude and Gemini to automate LaTeX format conversion. By using targeted prompts, LaTeX-FC preserves document structure and content while reducing manual effort. Experiments show it generalizes well across diverse templates. To our knowledge, this is the first approach to automate cross-template LaTeX conversion with LLMs, offering a scalable solution for researchers and publishers. The demo video and source code are publicly available on GitHub 11https://github.com/ZoeLinUTS/ICDM-2025-LatexFC. © 2025 IEEE.","Automated Document Conversion; LaTeX Format Converter; LLMs; Prompt Engineering; Retrieval-Augmented Generation","","25th IEEE International Conference on Data Mining Workshops, ICDMW 2025","12 November 2025 through 15 November 2025","Washington","221413","23759232","979-833158132-9","","English","IEEE Int. Conf. Data Mining Workshops, ICDMW","Conference paper","Final","","Scopus","2-s2.0-105035385522"
"Chaudhury S.; Das P.; Swaminathan S.; Kollias G.; Nelson E.; Pahwa K.; Pedapati T.; Melnyk I.; Riemer M.","Chaudhury, Subhajit (56134754000); Das, Payel (58194251700); Swaminathan, Sarathkrishna (57191283725); Kollias, Georgios (58821829400); Nelson, Elliot (58061734000); Pahwa, Khushbu (57216288201); Pedapati, Tejaswini (57198491700); Melnyk, Igor (57057398500); Riemer, Matthew (57150576700)","56134754000; 58194251700; 57191283725; 58821829400; 58061734000; 57216288201; 57198491700; 57057398500; 57150576700","EpMAN: Episodic Memory AttentioN for Generalizing to Longer Contexts","2025","Proceedings of the Annual Meeting of the Association for Computational Linguistics","1","","","11696","11708","0","10.18653/v1/2025.acl-long.574","https://www.scopus.com/pages/publications/105021011546?origin=resultslist","IBM Research, United States","Chaudhury S., IBM Research, United States; Das P., IBM Research, United States; Swaminathan S., IBM Research, United States; Kollias G., IBM Research, United States; Nelson E., IBM Research, United States; Pahwa K., IBM Research, United States; Pedapati T., IBM Research, United States; Melnyk I., IBM Research, United States; Riemer M., IBM Research, United States","Recent advances in Large Language Models (LLMs) have yielded impressive successes on many language tasks. However, efficient processing of long contexts using LLMs remains a significant challenge. We introduce EpMAN - a method for processing long contexts in an episodic memory module while holistically attending to semantically relevant context chunks. The output of episodic attention is then used to reweigh the decoder's self-attention to the stored KV cache of the context during training and generation. When an LLM decoder is trained using EpMAN, its performance on multiple challenging single-hop long-context recall and question-answering benchmarks is found to be stronger and more robust across the range from 16k to 256k tokens than baseline decoders trained with self-attention, and popular retrieval-augmented generation frameworks. Our source code will be made available at https://github.com/IBM/epman. © 2025 Association for Computational Linguistics.","","Alibaba Cloud; Ant Group; Bloomberg Engineering; Citadel Securities","63rd Annual Meeting of the Association for Computational Linguistics, ACL 2025","27 July 2025 through 1 August 2025","Vienna","213612","0736587X","979-889176251-0","","English","Proc. Annu. Meet. Assoc. Comput Linguist.","Conference paper","Final","","Scopus","2-s2.0-105021011546"
"Ibiyo M.O.; Louangdy T.; Nguyen P.T.; Di Sipio C.; Di Ruscio D.","Ibiyo, Motunrayo Osatohanmen (59906250200); Louangdy, Thinakone (59906132800); Nguyen, Phuong T. (57209915714); Di Sipio, Claudio (57215525221); Di Ruscio, Davide (57201633392)","59906250200; 59906132800; 57209915714; 57215525221; 57201633392","Detecting Malicious Source Code in PyPI Packages with LLMs: Does RAG Come in Handy","2025","Proceedings of the 29th International Conference on Evaluation and Assessment in Software Engineering , EASE, 2025 edition, EASE 2025","","","","653","658","1","10.1145/3756681.3757042","https://www.scopus.com/pages/publications/105026939081?origin=resultslist","Department of Information Engineering, Computer Science and Mathematics, University of L'Aquila, L'Aquila, Italy","Ibiyo M.O., Department of Information Engineering, Computer Science and Mathematics, University of L'Aquila, L'Aquila, Italy; Louangdy T., Department of Information Engineering, Computer Science and Mathematics, University of L'Aquila, L'Aquila, Italy; Nguyen P.T., Department of Information Engineering, Computer Science and Mathematics, University of L'Aquila, L'Aquila, Italy; Di Sipio C., Department of Information Engineering, Computer Science and Mathematics, University of L'Aquila, L'Aquila, Italy; Di Ruscio D., Department of Information Engineering, Computer Science and Mathematics, University of L'Aquila, L'Aquila, Italy","Malicious software packages in open-source ecosystems, such as PyPI, pose growing security risks. Unlike traditional vulnerabilities, these packages are intentionally designed to deceive users, making detection challenging due to evolving attack methods and the lack of structured datasets. In this work, we empirically evaluate the effectiveness of Large Language Models (LLMs), Retrieval-Augmented Generation (RAG), and few-shot learning for detecting malicious source code. We fine-tune LLMs on curated datasets and integrate YARA rules, GitHub Security Advisories, and malicious code snippets with the aim of enhancing classification accuracy. We came across a counterintuitive outcome: While RAG is expected to boost up the prediction performance, it fails in the performed evaluation, obtaining a mediocre accuracy. In contrast, few-shot learning is more effective as it significantly improves the detection of malicious code, achieving 97% accuracy and 95% balanced accuracy, outperforming traditional RAG approaches. Thus, future work should expand structured knowledge bases, refine retrieval models, and explore hybrid AI-driven cybersecurity solutions. © 2025 Copyright held by the owner/author(s).","","Aselsan; Istanbul Technical University (ITU); Paycell","29th International Conference on Evaluation and Assessment of Software Engineering, EASE 2025","17 June 2025 through 20 June 2025","Istanbul","216134","","979-840071385-9","","English","Proc. Int. Conf. Eval. Assess. Softw. Eng. EASE, ed., EASE","Conference paper","Final","All Open Access; Gold Open Access","Scopus","2-s2.0-105026939081"
"Dong X.; Zhao D.; Meng J.; Guo B.; Lin H.","Dong, Xin (59142002100); Zhao, Di (57208214027); Meng, Jiana (36665065300); Guo, Bocheng (59140826500); Lin, Hongfei (24468572400)","59142002100; 57208214027; 36665065300; 59140826500; 24468572400","SyRACT: zero-shot biomedical document-level relation extraction with synergistic RAG and CoT","2025","Bioinformatics","41","7","btaf356","","","1","10.1093/bioinformatics/btaf356","https://www.scopus.com/pages/publications/105010437743?origin=resultslist","School of Computer Science and Engineering, Dalian Minzu University, Liaoning, 116600, China; School of Computer Science and Technology, Dalian University of Technology, Liaoning, 116024, China","Dong X., School of Computer Science and Engineering, Dalian Minzu University, Liaoning, 116600, China; Zhao D., School of Computer Science and Engineering, Dalian Minzu University, Liaoning, 116600, China, School of Computer Science and Technology, Dalian University of Technology, Liaoning, 116024, China; Meng J., School of Computer Science and Engineering, Dalian Minzu University, Liaoning, 116600, China; Guo B., School of Computer Science and Engineering, Dalian Minzu University, Liaoning, 116600, China; Lin H., School of Computer Science and Technology, Dalian University of Technology, Liaoning, 116024, China","Motivation: With the advancement of large language models (LLMs), the field of biomedical document-level relation extraction (BioDocRE) has encountered new opportunities. However, LLMs often face challenges such as hallucinated generation, insufficient reasoning capabilities, and a lack of interpretability when performing relation extraction tasks. Results: To address these issues, we propose the SyRACT (Synergistic Retrieval Augmented Generation and Chain of Thought) framework for high precision relation extraction in biomedical documents. This framework is built around three core strategies: (i) reframing the relation extraction task as a question answering problem to better align with the processing logic of LLMs; (ii) leveraging an external database constructed from PubMed to provide LLMs with rich and reliable contextual information, thus mitigating hallucination generation; and (iii) construct a specific Chain of Thought for BioDocRE tasks, thereby enhancing the model’s reasoning ability and the interpretability of its output. We validated this approach on three biomedical relation extraction datasets: CDR, GDA, and ADE. Experimental results show that the SyRACT model improves F1 scores by 11.04%, 9.10%, and 41.00% on three datasets, respectively, compared to the DocRE method, which uses standard prompts for LLMs. Availability and implementation: Our source code and data are available at https://github.com/donggggxin/SyRACT. © The Author(s) 2025. Published by Oxford University Press.","","","","","","","13674803","","BOINF","English","Bioinformatics","Article","Final","All Open Access; Gold Open Access; Green Open Access","Scopus","2-s2.0-105010437743"
"Ionescu A.-C.; Titov S.; Izadi M.","Ionescu, Andrei-Cristian (59754703600); Titov, Sergey (57407106000); Izadi, Maliheh (57212699639)","59754703600; 57407106000; 57212699639","A Multi-agent Onboarding Assistant based on Large Language Models, Retrieval Augmented Generation, and Chain-of-Thought","2025","Proceedings of the ACM SIGSOFT Symposium on the Foundations of Software Engineering","","","","1208","1212","2","10.1145/3696630.3728611","https://www.scopus.com/pages/publications/105013956603?origin=resultslist","Delft University of Technology, Delft, Netherlands; JetBrains Research, Amsterdam, Netherlands","Ionescu A.-C., Delft University of Technology, Delft, Netherlands; Titov S., JetBrains Research, Amsterdam, Netherlands; Izadi M., Delft University of Technology, Delft, Netherlands","Effective onboarding in software engineering is crucial but difficult due to the fast-paced evolution of technologies. Traditional methods, like exploration and workshops, are costly, time-consuming, and quickly outdated in large projects. We propose the Onboarding Buddy system, which leverages large language models, retrieval augmented generation, and an automated chain-of-thought approach to improve onboarding. It integrates dynamic, context-specific support within the development environment, offering natural language explanations, code insights, and project guidance. Our solution is agent-based and provides customized assistance with minimal human intervention. Our study results among the eight participants show an average helpfulness rating of (M=3.26, SD=0.86) and ease of onboarding at (M=3.0, SD=0.96) out of four. While similar to tools like GitHub Copilot, Onboarding Buddy uniquely integrates a chain-of-thought reasoning mechanism with retrieval-augmented generation, tailored specifically for dynamic onboarding contexts. While our initial evaluation is based on eight participants within one project, we will explore larger teams and multiple real-world codebases in the company to demonstrate broader applicability. Overall, Onboarding Buddy holds great potential for enhancing developer productivity and satisfaction. Our tool, source code [7], and demonstration video [6] are publicly available. © 2025 Copyright held by the owner/author(s).","Agents; CoT; Large language models; Onboarding; RAG","ACM SIGSOFT; ByteDance; et al.; Huawei; Research Council of Norway; U.S. National Science Foundation","33rd ACM International Conference on the Foundations of Software Engineering, FSE Companion 2025","23 June 2025 through 27 June 2025","Trondheim","211130","15397521","979-840071276-0","","English","Proc ACM SIGSOFT Symp Found Software Eng","Conference paper","Final","All Open Access; Gold Open Access","Scopus","2-s2.0-105013956603"
"Miyaguchi A.; Johnston C.; Potdar A.","Miyaguchi, Anthony (57761972100); Johnston, Conor (60066060600); Potdar, Aaryan (59230516100)","57761972100; 60066060600; 59230516100","DS@GT at Touché: Large Language Models for Retrieval-Augmented Debate","2025","CEUR Workshop Proceedings","4038","","","4641","4649","2","","https://www.scopus.com/pages/publications/105019050274?origin=resultslist","Georgia Institute of Technology, North Ave NW, Atlanta, 30332, GA, United States","Miyaguchi A., Georgia Institute of Technology, North Ave NW, Atlanta, 30332, GA, United States; Johnston C., Georgia Institute of Technology, North Ave NW, Atlanta, 30332, GA, United States; Potdar A., Georgia Institute of Technology, North Ave NW, Atlanta, 30332, GA, United States","Large Language Models (LLMs) demonstrate strong conversational abilities. In this Working Paper, we study them in the context of debating in two ways: their ability to perform in a structured debate along with a dataset of arguments to use and their ability to evaluate utterances throughout the debate. We deploy six leading publicly available models from three providers for the Retrieval-Augmented Debate and Evaluation. The evaluation is performed by measuring four key metrics: Quality, Quantity, Manner, and Relation. Throughout this task, we found that although LLMs perform well in debates when given related arguments, they tend to be verbose in responses yet consistent in evaluation. The accompanying source code for this paper is located at https://github.com/dsgt-arc/touche-2025-rad. © 2025 Copyright for this paper by its authors.","Argumentative Systems; CEUR-WS; Conversational AI; DS@GT; Large Language Models (LLM); Retrieval-Augmented Generation (RAG); Self-Evaluation","HiTZ Chair of Artificial Intelligence and Language Technology at the University of the Basque Country","26th Working Notes of the Conference and Labs of the Evaluation Forum, CLEF 2025","9 September 2025 through 12 September 2025","Madrid","213051","16130073","","","English","CEUR Workshop Proc.","Conference paper","Final","","Scopus","2-s2.0-105019050274"
"Liao D.; Pan S.; Sun X.; Ren X.; Huang Q.; Xing Z.; Jin H.; Li Q.","Liao, Dianshu (58033767700); Pan, Shidong (57477785900); Sun, Xiaoyu (57219533746); Ren, Xiaoxue (57204390609); Huang, Qing (57195682681); Xing, Zhenchang (8347413500); Jin, Huan (57193490106); Li, Qinying (58511006800)","58033767700; 57477785900; 57219533746; 57204390609; 57195682681; 8347413500; 57193490106; 58511006800","A3-CodGen: A Repository-Level Code Generation Framework for Code Reuse With Local-Aware, Global-Aware, and Third-Party-Library-Aware","2024","IEEE Transactions on Software Engineering","50","12","","3369","3384","13","10.1109/TSE.2024.3486195","https://www.scopus.com/pages/publications/85207889505?origin=resultslist","CSIRO's Data61, Sydney, 2015, NSW, Australia; Australian National University, School of Computing, Canberra, 2601, ACT, Australia; Zhejiang University, State Key Laboratory of Blockchain and Data Security, Hangzhou, 310027, China; Hangzhou High-Tech Zone (Binjiang) Institute of Blockchain and Data Security, Hangzhou, 310027, China; Jiangxi Normal University, School of Computer Information Engineering, Jiangxi, 330022, China; Jiangxi University of Technology, Jiangxi, 330022, China","Liao D., Australian National University, School of Computing, Canberra, 2601, ACT, Australia; Pan S., CSIRO's Data61, Sydney, 2015, NSW, Australia, Australian National University, School of Computing, Canberra, 2601, ACT, Australia; Sun X., Australian National University, School of Computing, Canberra, 2601, ACT, Australia; Ren X., Zhejiang University, State Key Laboratory of Blockchain and Data Security, Hangzhou, 310027, China, Hangzhou High-Tech Zone (Binjiang) Institute of Blockchain and Data Security, Hangzhou, 310027, China; Huang Q., Jiangxi Normal University, School of Computer Information Engineering, Jiangxi, 330022, China; Xing Z., CSIRO's Data61, Sydney, 2015, NSW, Australia, Australian National University, School of Computing, Canberra, 2601, ACT, Australia; Jin H., Jiangxi University of Technology, Jiangxi, 330022, China; Li Q., Jiangxi University of Technology, Jiangxi, 330022, China","LLM-based code generation tools are essential to help developers in the software development process. Existing tools often disconnect with the working context, i.e., the code repository, causing the generated code to be not similar to human developers. In this paper, we propose a novel code generation framework, dubbed A3-CodGen, to harness information within the code repository to generate code with fewer potential logical errors, code redundancy, and library-induced compatibility issues. We identify three types of representative information for the code repository: local-aware information from the current code file, global-aware information from other code files, and third-party-library information. Results demonstrate that by adopting the A3-CodGen framework, we successfully extract, fuse, and feed code repository information into the LLM, generating more accurate, efficient, and highly reusable code. The effectiveness of our framework is further underscored by generating code with a higher reuse rate, compared to human developers. This research contributes significantly to the field of code generation, providing developers with a more powerful tool to address the evolving demands in software development in practice. © 1976-2012 IEEE.","Code generation; code reuse; repository knowledge mining; retrieval-augmented generation","","","","","","00985589","","IESED","English","IEEE Trans Software Eng","Article","Final","","Scopus","2-s2.0-85207889505"
"Umar Zeshan M.; Ibiyo M.; Di Sipio C.; Nguyen P.T.; Di Ruscio D.","Umar Zeshan, Muhammad (60347419100); Ibiyo, Motunrayo (59906250200); Di Sipio, Claudio (57215525221); Nguyen, Phuong T. (57209915714); Di Ruscio, Davide (57201633392)","60347419100; 59906250200; 57215525221; 57209915714; 57201633392","Many hands make light work: An LLM-based multi-agent system for detecting malicious PyPI packages","2026","Journal of Systems and Software","236","","112792","","","0","10.1016/j.jss.2026.112792","https://www.scopus.com/pages/publications/105028356964?origin=resultslist","Universit‘a degli studi dell'Aquila, L'Aquila, 67100, Italy","Umar Zeshan M., Universit‘a degli studi dell'Aquila, L'Aquila, 67100, Italy; Ibiyo M., Universit‘a degli studi dell'Aquila, L'Aquila, 67100, Italy; Di Sipio C., Universit‘a degli studi dell'Aquila, L'Aquila, 67100, Italy; Nguyen P.T., Universit‘a degli studi dell'Aquila, L'Aquila, 67100, Italy; Di Ruscio D., Universit‘a degli studi dell'Aquila, L'Aquila, 67100, Italy","Malicious code in open-source repositories such as PyPI poses a growing threat to software supply chains. Traditional rule-based tools often overlook the semantic patterns in source code that are crucial for identifying adversarial components. Large language models (LLMs) show promise for software analysis, yet their use in interpretable and modular security pipelines remains limited. This paper presents LAMPS, a multi-agent system that employs collaborative LLMs to detect malicious PyPI packages. The system consists of four role-specific agents for package retrieval, file extraction, classification, and verdict aggregation, coordinated through the CrewAI framework. A prototype combines a fine-tuned CodeBERT model for classification with LLaMA 3 agents for contextual reasoning. LAMPS has been evaluated on two complementary datasets: D1, a balanced collection of 6000 setup.py files, and D2, a realistic multi-file dataset with 1296 files and natural class imbalance. On D1, LAMPS achieves 97.7% accuracy, surpassing MPHunter and TD-IDF stacking models–two state-of-the-art approaches. On D2, it reaches 99.5% accuracy and 99.5% balanced accuracy, outperforming RAG-based approaches and fine-tuned single-agent baselines. McNemar's test confirmed these improvements as highly significant. The results demonstrate the feasibility of distributed LLM reasoning for malicious code detection and highlight the benefits of modular multi-agent designs in software supply chain security. © 2026 The Author(s)","LLMs; Malicious PyPI package; Multi-agent systems","","","","","","01641212","","JSSOD","English","J Syst Software","Article","Final","All Open Access; Hybrid Gold Open Access","Scopus","2-s2.0-105028356964"
"Sun T.; Wang Z.; Wang W.; Chen R.; Pei J.","Sun, Tianze (59972528100); Wang, Zekun (60517816500); Wang, Wei (60517687400); Chen, Ran (60162865700); Pei, Ji (60517289400)","59972528100; 60517816500; 60517687400; 60162865700; 60517289400","Teacher-Guided Code Generation With API Update","2025","Conference Proceedings - IEEE International Conference on Systems, Man and Cybernetics","","","","4462","4468","0","10.1109/SMC58881.2025.11342663","https://www.scopus.com/pages/publications/105033153463?origin=resultslist","Harbin Institute of Technology, School of Computer Science and Technology, China; OpenCSG, China","Sun T., Harbin Institute of Technology, School of Computer Science and Technology, China; Wang Z., OpenCSG, China; Wang W., OpenCSG, China; Chen R., OpenCSG, China; Pei J., OpenCSG, China","Large language models have shown considerable potential in areas such as program writing and API invocation, significantly enhancing automation and efficiency. However, frequent updates to APIs pose significant challenges to these models, particularly in terms of the high costs of retraining and the complexity of maintenance associated with updating the model's knowledge. Current strategies for handling these issues generally fall into two categories: enhanced reasoning and parameter tuning. Among these, Retrieval Augmented Generation (RAG), as a primary method for enhancing reasoning, assists the code models in the reasoning process during code generation by modifying prompt information. However, since it does not alter the model's parameters, external knowledge may conflict with the knowledge stored in the model after training; On the other hand, the method of parameter tuning incorporates API updates into the training data, modifying the code model's parameters and enabling re-reasoning. However it struggles due to the scarcity of high-quality samples for effective model training. In response to these challenges, we propose an innovative learning method that utilizes the logical reasoning capabilities of generic large models and adopts a teacher-student framework. Within our framework, the teacher model analyzes the historical learning records of the code model to autonomously generate high-quality programming problems and their solutions, guiding the model through preference-based training. This approach not only leverages the strengths of large models in problem generation but also strictly controls the quality of learning materials, effectively avoiding the knowledge conflicts that can arise from RAG-based methods. Our Method offers a more effective and practical solution for code models in rapidly evolving API environments, significantly improving their stability and accuracy in practical applications. Experiments conducted across multiple common code repositories have demonstrated the significant advantages of our method, confirming its proactive and practical capabilities in addressing the challenges of API updates. © 2025 IEEE.","","IEEE; IEEE Systems, Man, and Cybernetics Society (SMC)","2025 IEEE International Conference on Systems, Man, and Cybernetics, SMC 2025","5 October 2025 through 8 October 2025","Hybrid, Vienna","219622","1062922X","979-833153358-8","PICYE","English","Conf. Proc. IEEE Int. Conf. Syst. Man Cybern.","Conference paper","Final","","Scopus","2-s2.0-105033153463"
"Pan J.; Jacobson I.; Zhao Z.; Chen T.-C.; Zhou G.; Chang C.-C.; Rashingkar V.; Chen Y.","Pan, Jingyu (57401735900); Jacobson, Isaac (59537134600); Zhao, Zheng (60052717200); Chen, Tung-Chieh (57212623357); Zhou, Guanglei (58773950000); Chang, Chen-Chia (57401875100); Rashingkar, Vineet (57609509200); Chen, Yiran (9737381600)","57401735900; 59537134600; 60052717200; 57212623357; 58773950000; 57401875100; 57609509200; 9737381600","CROP: Circuit Retrieval and Optimization with Parameter Guidance using LLMs","2025","IEEE/ACM International Conference on Computer-Aided Design, Digest of Technical Papers, ICCAD","","","","","","2","10.1109/ICCAD66269.2025.11240643","https://www.scopus.com/pages/publications/105029379578?origin=resultslist","Duke University, Electrical and Computer Engineering, Durham, United States; Synopsys Inc., Sunnyvale, United States","Pan J., Duke University, Electrical and Computer Engineering, Durham, United States; Jacobson I., Duke University, Electrical and Computer Engineering, Durham, United States; Zhao Z., Synopsys Inc., Sunnyvale, United States; Chen T.-C., Synopsys Inc., Sunnyvale, United States; Zhou G., Duke University, Electrical and Computer Engineering, Durham, United States; Chang C.-C., Duke University, Electrical and Computer Engineering, Durham, United States; Rashingkar V., Synopsys Inc., Sunnyvale, United States; Chen Y., Duke University, Electrical and Computer Engineering, Durham, United States","Modern very large-scale integration (VLSI) design requires the implementation of integrated circuits using electronic design automation (EDA) tools. Due to the complexity of EDA algorithms, the vast parameter space poses a huge challenge to chip design optimization, as the combination of even moderate numbers of parameters creates an enormous solution space to explore. Manual parameter selection remains industrial practice despite being excessively laborious and limited by expert experience. To address this issue, we present CROP, the first large language model (LLM)-powered automatic VLSI design flow tuning framework. Our approach includes: (1) a scalable methodology for transforming RTL source code into dense vector representations, (2) an embedding-based retrieval system for matching designs with semantically similar circuits, and (3) a retrieval-augmented generation (RAG)-enhanced LLM-guided parameter search system that constrains the search process with prior knowledge from similar designs. Experiment results demonstrate CROP's ability to achieve superior quality-of-results (QoR) with fewer iterations than existing approaches on industrial designs, including a 9.9% reduction in power consumption.  © 2025 IEEE.","design automation; large language models; parameter tuning","ACADEMIC and RESEARCH ALLIANCES; cadence; CHIP DESIGN GERMANY; et al.; european design and automation association (edaa); synopsys","44th IEEE/ACM International Conference on Computer-Aided Design, ICCAD 2025","26 October 2025 through 30 October 2025","Munich","217124","10923152","979-833151560-7","DICDF","English","IEEE ACM Int. Conf. Comput. Des. Dig. Tech. Pap. ICCAD","Conference paper","Final","","Scopus","2-s2.0-105029379578"
